target,origin,actual_dir,dir3,flat,real10,usd,ry1,ry3,usd1,usd3,alarm_frozen,pred_frozen
2010-01-01,2009-12-01,-1.0,1.0,False,1.48,92.9124,0.3500000000000001,-0.08000000000000007,0.01686189487554679,-0.0029863494962479864,True,-1.0
2010-02-01,2010-01-01,-1.0,1.0,False,1.3,93.7638,-0.17999999999999994,-0.10999999999999988,0.009163470107326877,0.01234173354336554,True,-1.0
2010-03-01,2010-02-01,1.0,-1.0,False,1.48,93.6602,0.17999999999999994,0.3500000000000001,-0.0011049040247942399,0.025046048174653723,False,-1.0
2010-04-01,2010-03-01,1.0,-1.0,False,1.6,92.8987,0.1200000000000001,0.1200000000000001,-0.008130454558072708,-0.00014745071701949275,False,-1.0
2010-05-01,2010-04-01,1.0,1.0,False,1.29,92.8423,-0.31000000000000005,-0.010000000000000009,-0.0006071129090075011,-0.00982788666841583,False,1.0
2010-06-01,2010-05-01,1.0,1.0,False,1.32,96.3062,0.030000000000000027,-0.15999999999999992,0.037309502241973824,0.028251060749389767,True,-1.0
2010-07-01,2010-06-01,-1.0,1.0,False,1.15,95.9934,-0.17000000000000015,-0.4500000000000002,-0.0032479736507100565,0.03331262977845739,False,1.0
2010-08-01,2010-07-01,1.0,1.0,False,1.14,93.2793,-0.010000000000000009,-0.15000000000000013,-0.028273818825044095,0.004706906227010865,False,1.0
2010-09-01,2010-08-01,1.0,1.0,False,0.95,94.7204,-0.18999999999999995,-0.3700000000000001,0.015449301184721431,-0.016466229588541603,True,-1.0
2010-10-01,2010-09-01,1.0,1.0,False,0.75,91.3415,-0.19999999999999996,-0.3999999999999999,-0.035672357802543075,-0.04846062333452095,False,1.0
2010-11-01,2010-10-01,1.0,1.0,False,0.5,90.0935,-0.25,-0.6399999999999999,-0.013663011883973786,-0.034153343775092604,False,1.0
2010-12-01,2010-11-01,1.0,1.0,False,0.74,92.1494,0.24,-0.20999999999999996,0.0228196262771454,-0.02714304415944191,True,-1.0
2011-01-01,2010-12-01,-1.0,1.0,False,1.0,90.5146,0.26,0.25,-0.017740755772690853,-0.009052840165751586,True,-1.0
2011-02-01,2011-01-01,1.0,1.0,False,1.08,89.694,0.08000000000000007,0.5800000000000001,-0.00906594074326128,-0.0044342821624201445,False,1.0
2011-03-01,2011-02-01,1.0,1.0,False,1.03,88.9391,-0.050000000000000044,0.29000000000000004,-0.008416393515731313,-0.034837991348831365,False,1.0
2011-04-01,2011-03-01,1.0,1.0,False,0.99,88.0299,-0.040000000000000036,-0.010000000000000009,-0.010222725437968205,-0.02745082008869293,False,1.0
2011-05-01,2011-04-01,1.0,1.0,False,0.75,85.5999,-0.24,-0.33000000000000007,-0.027604257189886572,-0.045645193658438665,False,1.0
2011-06-01,2011-05-01,1.0,1.0,False,0.8,86.656,0.050000000000000044,-0.22999999999999998,0.012337631235550539,-0.025670374447233968,True,-1.0
2011-07-01,2011-06-01,1.0,1.0,False,0.75,86.4786,-0.050000000000000044,-0.24,-0.00204717503692764,-0.017622421472704097,False,1.0
2011-08-01,2011-07-01,1.0,1.0,False,0.38,85.7282,-0.37,-0.37,-0.008677291260496767,0.00149883352667457,False,1.0
2011-09-01,2011-08-01,1.0,1.0,False,0.18,86.7739,-0.2,-0.6200000000000001,0.012197853215161425,0.0013605520679467187,True,-1.0
2011-10-01,2011-09-01,-1.0,1.0,False,0.17,91.9998,-0.009999999999999981,-0.58,0.06022433012691608,0.06384469683829286,True,-1.0
2011-11-01,2011-10-01,1.0,1.0,False,0.08,89.2053,-0.09000000000000001,-0.3,-0.030375066032752196,0.04055958249444158,False,1.0
2011-12-01,2011-11-01,-1.0,-1.0,False,0.03,91.4728,-0.05,-0.15,0.025418893272036724,0.05415107538096153,False,-1.0
2012-01-01,2011-12-01,1.0,-1.0,False,-0.07,92.4262,-0.1,-0.24000000000000002,0.01042277048477791,0.004634792684331979,False,-1.0
2012-02-01,2012-01-01,1.0,-1.0,False,-0.28,90.5538,-0.21000000000000002,-0.36000000000000004,-0.020258325020394596,0.015116814808088685,False,-1.0
2012-03-01,2012-02-01,-1.0,1.0,False,-0.28,89.7487,0.0,-0.31000000000000005,-0.008890847209062414,-0.018848225920710893,False,1.0
2012-04-01,2012-03-01,-1.0,1.0,False,-0.09,90.4593,0.19000000000000003,-0.01999999999999999,0.007917663431336708,-0.021280762381229557,True,-1.0
2012-05-01,2012-04-01,-1.0,-1.0,False,-0.3,90.3634,-0.21,-0.019999999999999962,-0.0010601452808058909,-0.00210261744951612,False,-1.0
2012-06-01,2012-05-01,1.0,-1.0,False,-0.5,94.6856,-0.2,-0.21999999999999997,0.04783131223482062,0.05500803911365848,False,-1.0
2012-07-01,2012-06-01,-1.0,-1.0,False,-0.46,92.9096,0.03999999999999998,-0.37,-0.018756812017878044,0.027087319932831644,False,-1.0
2012-08-01,2012-07-01,1.0,-1.0,False,-0.69,92.8422,-0.22999999999999993,-0.38999999999999996,-0.0007254363381178353,0.027431460082290027,False,-1.0
2012-09-01,2012-08-01,1.0,1.0,False,-0.68,92.1677,0.009999999999999898,-0.18000000000000005,-0.007265015262456154,-0.026592216767914012,False,1.0
2012-10-01,2012-09-01,1.0,1.0,False,-0.77,90.8342,-0.08999999999999997,-0.31,-0.014468192219183051,-0.02233784237581482,False,1.0
2012-11-01,2012-10-01,-1.0,1.0,False,-0.78,91.1609,-0.010000000000000009,-0.09000000000000008,0.003596662930922534,-0.018109221884013982,True,-1.0
