ry_thr,usd_thr,mode,period,n,base_acc,rule_acc,corrected,damaged,alarms
0.0,0.0,AND,DEV,130,0.5230769230769231,0.5538461538461539,10,6,16
0.0,0.0,AND,VAL,24,0.4166666666666667,0.4166666666666667,1,1,2
0.0,0.0,AND,TEST2023,11,0.6363636363636364,0.6363636363636364,1,1,2
0.0,0.0,AND,LOCK,30,0.7666666666666667,0.7,3,5,8
0.0,0.0,OR,DEV,130,0.5230769230769231,0.6,25,15,40
0.0,0.0,OR,VAL,24,0.4166666666666667,0.5416666666666666,5,2,7
0.0,0.0,OR,TEST2023,11,0.6363636363636364,0.5454545454545454,2,3,5
0.0,0.0,OR,LOCK,30,0.7666666666666667,0.6,4,9,13
0.0,0.0,RY_ONLY,DEV,130,0.5230769230769231,0.5846153846153846,18,10,28
0.0,0.0,RY_ONLY,VAL,24,0.4166666666666667,0.4166666666666667,2,2,4
0.0,0.0,RY_ONLY,TEST2023,11,0.6363636363636364,0.5454545454545454,2,3,5
0.0,0.0,RY_ONLY,LOCK,30,0.7666666666666667,0.6,3,8,11
0.0,0.0,USD_ONLY,DEV,130,0.5230769230769231,0.5692307692307692,17,11,28
0.0,0.0,USD_ONLY,VAL,24,0.4166666666666667,0.5416666666666666,4,1,5
0.0,0.0,USD_ONLY,TEST2023,11,0.6363636363636364,0.6363636363636364,1,1,2
0.0,0.0,USD_ONLY,LOCK,30,0.7666666666666667,0.7,4,6,10
0.0,0.01,AND,DEV,130,0.5230769230769231,0.5153846153846153,5,6,11
0.0,0.01,AND,VAL,24,0.4166666666666667,0.4583333333333333,1,0,1
0.0,0.01,AND,TEST2023,11,0.6363636363636364,0.6363636363636364,1,1,2
0.0,0.01,AND,LOCK,30,0.7666666666666667,0.7333333333333333,3,4,7
0.0,0.01,OR,DEV,130,0.5230769230769231,0.5846153846153846,21,13,34
0.0,0.01,OR,VAL,24,0.4166666666666667,0.5,4,2,6
0.0,0.01,OR,TEST2023,11,0.6363636363636364,0.5454545454545454,2,3,5
0.0,0.01,OR,LOCK,30,0.7666666666666667,0.6,4,9,13
0.0,0.01,RY_ONLY,DEV,130,0.5230769230769231,0.5846153846153846,18,10,28
0.0,0.01,RY_ONLY,VAL,24,0.4166666666666667,0.4166666666666667,2,2,4
0.0,0.01,RY_ONLY,TEST2023,11,0.6363636363636364,0.5454545454545454,2,3,5
0.0,0.01,RY_ONLY,LOCK,30,0.7666666666666667,0.6,3,8,11
0.0,0.01,USD_ONLY,DEV,130,0.5230769230769231,0.5153846153846153,8,9,17
0.0,0.01,USD_ONLY,VAL,24,0.4166666666666667,0.5416666666666666,3,0,3
0.0,0.01,USD_ONLY,TEST2023,11,0.6363636363636364,0.6363636363636364,1,1,2
0.0,0.01,USD_ONLY,LOCK,30,0.7666666666666667,0.7333333333333333,4,5,9
0.0,0.02,AND,DEV,130,0.5230769230769231,0.49230769230769234,0,4,4
0.0,0.02,AND,VAL,24,0.4166666666666667,0.4583333333333333,1,0,1
0.0,0.02,AND,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.0,0.02,AND,LOCK,30,0.7666666666666667,0.8,2,1,3
0.0,0.02,OR,DEV,130,0.5230769230769231,0.5923076923076923,20,11,31
0.0,0.02,OR,VAL,24,0.4166666666666667,0.4166666666666667,2,2,4
0.0,0.02,OR,TEST2023,11,0.6363636363636364,0.5454545454545454,2,3,5
0.0,0.02,OR,LOCK,30,0.7666666666666667,0.6,3,8,11
0.0,0.02,RY_ONLY,DEV,130,0.5230769230769231,0.5846153846153846,18,10,28
0.0,0.02,RY_ONLY,VAL,24,0.4166666666666667,0.4166666666666667,2,2,4
0.0,0.02,RY_ONLY,TEST2023,11,0.6363636363636364,0.5454545454545454,2,3,5
0.0,0.02,RY_ONLY,LOCK,30,0.7666666666666667,0.6,3,8,11
0.0,0.02,USD_ONLY,DEV,130,0.5230769230769231,0.5,2,5,7
0.0,0.02,USD_ONLY,VAL,24,0.4166666666666667,0.4583333333333333,1,0,1
0.0,0.02,USD_ONLY,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.0,0.02,USD_ONLY,LOCK,30,0.7666666666666667,0.8,2,1,3
0.0,0.03,AND,DEV,130,0.5230769230769231,0.5,0,3,3
0.0,0.03,AND,VAL,24,0.4166666666666667,0.4583333333333333,1,0,1
0.0,0.03,AND,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.0,0.03,AND,LOCK,30,0.7666666666666667,0.7666666666666667,0,0,0
0.0,0.03,OR,DEV,130,0.5230769230769231,0.6,20,10,30
0.0,0.03,OR,VAL,24,0.4166666666666667,0.4166666666666667,2,2,4
0.0,0.03,OR,TEST2023,11,0.6363636363636364,0.5454545454545454,2,3,5
0.0,0.03,OR,LOCK,30,0.7666666666666667,0.6,3,8,11
0.0,0.03,RY_ONLY,DEV,130,0.5230769230769231,0.5846153846153846,18,10,28
0.0,0.03,RY_ONLY,VAL,24,0.4166666666666667,0.4166666666666667,2,2,4
0.0,0.03,RY_ONLY,TEST2023,11,0.6363636363636364,0.5454545454545454,2,3,5
0.0,0.03,RY_ONLY,LOCK,30,0.7666666666666667,0.6,3,8,11
0.0,0.03,USD_ONLY,DEV,130,0.5230769230769231,0.5153846153846153,2,3,5
0.0,0.03,USD_ONLY,VAL,24,0.4166666666666667,0.4583333333333333,1,0,1
0.0,0.03,USD_ONLY,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.0,0.03,USD_ONLY,LOCK,30,0.7666666666666667,0.7666666666666667,0,0,0
0.1,0.0,AND,DEV,130,0.5230769230769231,0.5538461538461539,7,3,10
0.1,0.0,AND,VAL,24,0.4166666666666667,0.4166666666666667,1,1,2
0.1,0.0,AND,TEST2023,11,0.6363636363636364,0.6363636363636364,1,1,2
0.1,0.0,AND,LOCK,30,0.7666666666666667,0.7333333333333333,2,3,5
0.1,0.0,OR,DEV,130,0.5230769230769231,0.6153846153846154,23,11,34
0.1,0.0,OR,VAL,24,0.4166666666666667,0.5833333333333334,5,1,6
0.1,0.0,OR,TEST2023,11,0.6363636363636364,0.5454545454545454,2,3,5
0.1,0.0,OR,LOCK,30,0.7666666666666667,0.6333333333333333,4,8,12
0.1,0.0,RY_ONLY,DEV,130,0.5230769230769231,0.6,13,3,16
0.1,0.0,RY_ONLY,VAL,24,0.4166666666666667,0.4583333333333333,2,1,3
0.1,0.0,RY_ONLY,TEST2023,11,0.6363636363636364,0.5454545454545454,2,3,5
0.1,0.0,RY_ONLY,LOCK,30,0.7666666666666667,0.6666666666666666,2,5,7
0.1,0.0,USD_ONLY,DEV,130,0.5230769230769231,0.5692307692307692,17,11,28
0.1,0.0,USD_ONLY,VAL,24,0.4166666666666667,0.5416666666666666,4,1,5
0.1,0.0,USD_ONLY,TEST2023,11,0.6363636363636364,0.6363636363636364,1,1,2
0.1,0.0,USD_ONLY,LOCK,30,0.7666666666666667,0.7,4,6,10
0.1,0.01,AND,DEV,130,0.5230769230769231,0.5230769230769231,3,3,6
0.1,0.01,AND,VAL,24,0.4166666666666667,0.4583333333333333,1,0,1
0.1,0.01,AND,TEST2023,11,0.6363636363636364,0.6363636363636364,1,1,2
0.1,0.01,AND,LOCK,30,0.7666666666666667,0.7666666666666667,2,2,4
0.1,0.01,OR,DEV,130,0.5230769230769231,0.5923076923076923,18,9,27
0.1,0.01,OR,VAL,24,0.4166666666666667,0.5416666666666666,4,1,5
0.1,0.01,OR,TEST2023,11,0.6363636363636364,0.5454545454545454,2,3,5
0.1,0.01,OR,LOCK,30,0.7666666666666667,0.6333333333333333,4,8,12
0.1,0.01,RY_ONLY,DEV,130,0.5230769230769231,0.6,13,3,16
0.1,0.01,RY_ONLY,VAL,24,0.4166666666666667,0.4583333333333333,2,1,3
0.1,0.01,RY_ONLY,TEST2023,11,0.6363636363636364,0.5454545454545454,2,3,5
0.1,0.01,RY_ONLY,LOCK,30,0.7666666666666667,0.6666666666666666,2,5,7
0.1,0.01,USD_ONLY,DEV,130,0.5230769230769231,0.5153846153846153,8,9,17
0.1,0.01,USD_ONLY,VAL,24,0.4166666666666667,0.5416666666666666,3,0,3
0.1,0.01,USD_ONLY,TEST2023,11,0.6363636363636364,0.6363636363636364,1,1,2
0.1,0.01,USD_ONLY,LOCK,30,0.7666666666666667,0.7333333333333333,4,5,9
0.1,0.02,AND,DEV,130,0.5230769230769231,0.5,0,3,3
0.1,0.02,AND,VAL,24,0.4166666666666667,0.4583333333333333,1,0,1
0.1,0.02,AND,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.1,0.02,AND,LOCK,30,0.7666666666666667,0.8,2,1,3
0.1,0.02,OR,DEV,130,0.5230769230769231,0.6,15,5,20
0.1,0.02,OR,VAL,24,0.4166666666666667,0.4583333333333333,2,1,3
0.1,0.02,OR,TEST2023,11,0.6363636363636364,0.5454545454545454,2,3,5
0.1,0.02,OR,LOCK,30,0.7666666666666667,0.6666666666666666,2,5,7
0.1,0.02,RY_ONLY,DEV,130,0.5230769230769231,0.6,13,3,16
0.1,0.02,RY_ONLY,VAL,24,0.4166666666666667,0.4583333333333333,2,1,3
0.1,0.02,RY_ONLY,TEST2023,11,0.6363636363636364,0.5454545454545454,2,3,5
0.1,0.02,RY_ONLY,LOCK,30,0.7666666666666667,0.6666666666666666,2,5,7
0.1,0.02,USD_ONLY,DEV,130,0.5230769230769231,0.5,2,5,7
0.1,0.02,USD_ONLY,VAL,24,0.4166666666666667,0.4583333333333333,1,0,1
0.1,0.02,USD_ONLY,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.1,0.02,USD_ONLY,LOCK,30,0.7666666666666667,0.8,2,1,3
0.1,0.03,AND,DEV,130,0.5230769230769231,0.5076923076923077,0,2,2
0.1,0.03,AND,VAL,24,0.4166666666666667,0.4583333333333333,1,0,1
0.1,0.03,AND,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.1,0.03,AND,LOCK,30,0.7666666666666667,0.7666666666666667,0,0,0
0.1,0.03,OR,DEV,130,0.5230769230769231,0.6076923076923076,15,4,19
0.1,0.03,OR,VAL,24,0.4166666666666667,0.4583333333333333,2,1,3
0.1,0.03,OR,TEST2023,11,0.6363636363636364,0.5454545454545454,2,3,5
0.1,0.03,OR,LOCK,30,0.7666666666666667,0.6666666666666666,2,5,7
0.1,0.03,RY_ONLY,DEV,130,0.5230769230769231,0.6,13,3,16
0.1,0.03,RY_ONLY,VAL,24,0.4166666666666667,0.4583333333333333,2,1,3
0.1,0.03,RY_ONLY,TEST2023,11,0.6363636363636364,0.5454545454545454,2,3,5
0.1,0.03,RY_ONLY,LOCK,30,0.7666666666666667,0.6666666666666666,2,5,7
0.1,0.03,USD_ONLY,DEV,130,0.5230769230769231,0.5153846153846153,2,3,5
0.1,0.03,USD_ONLY,VAL,24,0.4166666666666667,0.4583333333333333,1,0,1
0.1,0.03,USD_ONLY,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.1,0.03,USD_ONLY,LOCK,30,0.7666666666666667,0.7666666666666667,0,0,0
0.2,0.0,AND,DEV,130,0.5230769230769231,0.5230769230769231,1,1,2
0.2,0.0,AND,VAL,24,0.4166666666666667,0.4166666666666667,1,1,2
0.2,0.0,AND,TEST2023,11,0.6363636363636364,0.5454545454545454,0,1,1
0.2,0.0,AND,LOCK,30,0.7666666666666667,0.7666666666666667,2,2,4
0.2,0.0,OR,DEV,130,0.5230769230769231,0.5846153846153846,19,11,30
0.2,0.0,OR,VAL,24,0.4166666666666667,0.5833333333333334,5,1,6
0.2,0.0,OR,TEST2023,11,0.6363636363636364,0.5454545454545454,1,2,3
0.2,0.0,OR,LOCK,30,0.7666666666666667,0.7,4,6,10
0.2,0.0,RY_ONLY,DEV,130,0.5230769230769231,0.5384615384615384,3,1,4
0.2,0.0,RY_ONLY,VAL,24,0.4166666666666667,0.4583333333333333,2,1,3
0.2,0.0,RY_ONLY,TEST2023,11,0.6363636363636364,0.45454545454545453,0,2,2
0.2,0.0,RY_ONLY,LOCK,30,0.7666666666666667,0.7666666666666667,2,2,4
