target,origin,actual_dir,flat,dir3,base_hit,week_label,week_end,weekly_close,sma4,gap_pct,raw_dir,slow_dir,raw_persistence,conflict,conflict_strength,gap_accel,weekly_ret1,oriented_weekly_ret,vol8,strength_z
2010-01,2009-12,-1,False,1,0,2009-12-20,2009-12-25,1104.5,1122.8125,-0.01630949067631504,-1,-1,3,1,0.01630949067631504,-0.009352887969780843,-0.00629779577147993,0.00629779577147993,0.027747849623309926,0.587774941039541
2010-02,2010-01,-1,False,1,0,2010-01-24,2010-01-29,1081.3,1110.4375,-0.026239657792536786,-1,-1,2,1,0.026239657792536786,0.007437773116745872,-0.010975944388548431,0.010975944388548431,0.022613422985143235,1.1603576251934944
2010-03,2010-02,1,False,-1,0,2010-02-21,2010-02-26,1116.6,1098.3249999999998,0.016638972981585676,1,1,3,1,0.016638972981585676,-0.009152674563159602,-0.0008947745168217391,-0.0008947745168217391,0.023217473026556343,0.7166573624336239
2010-04,2010-03,1,False,-1,0,2010-03-21,2010-03-26,1108.6,1111.9875,-0.0030463471936510444,-1,-1,3,0,-0.0030463471936510444,0.004438027631021635,0.0026681137792248233,-0.0026681137792248233,0.017095725391707808,-0.1781935029869314
2010-05,2010-04,1,False,1,1,2010-04-25,2010-04-30,1178.25,1157.6875,0.01776170166819635,1,1,5,0,-0.01776170166819635,-0.007690702214345979,0.019335582662860062,0.019335582662860062,0.019901420615167077,-0.8924841101373424
2010-06,2010-05,1,False,1,1,2010-05-23,2010-05-28,1214.45,1207.33,0.005897310594452421,1,0,1,0,-0.005897310594452421,-0.023606026420469717,0.03176558544169383,,0.027080143729274784,-0.2177724997846735
2010-07,2010-06,-1,False,1,0,2010-06-20,2010-06-25,1254.48,1238.54,0.01286999208745776,1,1,5,0,-0.01286999208745776,0.009186811456608046,-0.0009158748994528843,-0.0009158748994528843,0.023687683037698054,-0.5433200058855757
2010-08,2010-07,1,False,1,1,2010-07-25,2010-07-30,1180.7,1192.5325,-0.00992216145052649,-1,-1,5,1,0.00992216145052649,-0.0008806998703971836,-0.005458312976970636,0.005458312976970636,0.0166892090938445,0.5945255640775746
2010-09,2010-08,1,False,1,1,2010-08-22,2010-08-27,1237.92,1221.275,0.013629198992855862,1,1,4,0,-0.013629198992855862,0.0032146330825062464,0.008653141041310208,0.008653141041310208,0.011089107550791693,-1.229061845638139
2010-10,2010-09,1,False,1,1,2010-09-19,2010-09-24,1296.11,1265.685,0.02403836657620184,1,1,8,0,-0.02403836657620184,-0.005285431746896441,0.01687588262984474,0.01687588262984474,0.007993504469567309,-3.0072375223808496
