kind,f1,f2,q1,q2,t1,t2,dev_acc,dev_ba,dev_flips,dev_corrected,dev_damaged,val_acc,val_ba,val_flips,val_corrected,val_damaged,dev_net,val_net,qualified
single,conflict_strength,,0.25,,0.006398134300777569,,0.6615384615384615,0.6593224354418384,28,23,5,0.5833333333333334,0.5734265734265734,4,4,0,18,4,True
single,conflict_strength,,0.5,,0.01271093901384629,,0.6384615384615384,0.6345652688936271,19,17,2,0.5,0.4825174825174825,2,2,0,15,2,True
single,conflict_strength,,0.75,,0.020082739597108046,,0.5846153846153846,0.5818526415541341,10,9,1,0.5,0.4825174825174825,2,2,0,8,2,True
single,raw_persistence,,0.25,,2.0,,0.676923076923077,0.6751954513148544,38,29,9,0.75,0.7482517482517483,8,8,0,20,8,True
single,raw_persistence,,0.5,,3.0,,0.6153846153846154,0.6126510305614783,22,17,5,0.625,0.6258741258741258,5,5,0,12,5,True
single,raw_persistence,,0.75,,3.0,,0.6153846153846154,0.6126510305614783,22,17,5,0.625,0.6258741258741258,5,5,0,12,5,True
single,gap_accel,,0.25,,-0.009385991934434179,,0.6461538461538462,0.6439232409381663,28,22,6,0.5416666666666666,0.534965034965035,3,3,0,16,3,True
single,gap_accel,,0.5,,-0.001171070037346178,,0.6230769230769231,0.6205875384979862,19,16,3,0.4583333333333333,0.44405594405594406,1,1,0,13,1,False
single,gap_accel,,0.75,,0.008583643211053732,,0.5846153846153846,0.5813788201847903,10,9,1,0.4583333333333333,0.44405594405594406,1,1,0,8,1,False
single,oriented_weekly_ret,,0.25,,-0.003989161530665641,,0.6615384615384615,0.6593224354418384,28,23,5,0.5416666666666666,0.534965034965035,3,3,0,18,3,True
single,oriented_weekly_ret,,0.5,,0.005764813418780379,,0.6538461538461539,0.6513859275053304,19,18,1,0.4583333333333333,0.44405594405594406,1,1,0,17,1,False
single,oriented_weekly_ret,,0.75,,0.01454815561466924,,0.5846153846153846,0.5809049988154465,10,9,1,0.4583333333333333,0.44405594405594406,1,1,0,8,1,False
single,strength_z,,0.25,,0.4078906376017406,,0.6615384615384615,0.6593224354418384,28,23,5,0.5,0.4825174825174825,2,2,0,18,2,True
single,strength_z,,0.5,,0.7040784032576182,,0.6384615384615384,0.6345652688936271,19,17,2,0.5,0.4825174825174825,2,2,0,15,2,True
